1,1000,1001,-1,-0.1
1.414,1414,1415,-0.999999999999773,-0.070721357850055
2,2000,2001,-1,-0.05
2.82,2820,2820,0,0
4,4000,3999,1,0.025
5.65,5650,5650,0,0
8,8000,7996,4,0.05
11.3,11300,11298,2,0.017699115044248
16,16000,15989,11,0.06875
22.62,22620,22605,15,0.06631299734748
32,32000,31986,14,0.04375
45.25,45250,45230,20,0.044198895027624
64,64000,63948,52,0.08125
90.5,90500,90499,1,0.001104972375691
128,128000,127943,57,0.04453125
181,181000,180874,126,0.069613259668508
256,256000,255758,242,0.09453125
362,362000,361962,38,0.010497237569061
512,512000,511920,80,0.015625
700,700000,699937,63,0.009
710,710000,709686,314,0.044225352112676
715,715000,714941,59,0.008251748251748
